SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ratio_sqft_bd,additional_bd_opp,ratio_lot_sqft,adu_potential
MLS Listing,,Multi-Family ,36 W 11th St Unit COMBINATION,New York,NY,10011,22945000,15,11,Manhattan,12000,2054,1840,117,1912,,Active,https://www.redfin.com/NY/New-York/36-W-11th-St-10011/unit-COMBINATION/home/184792201,REBNY,PRCH-7519638,N,Y,40.7345195,-73.9965754,800,TRUE,0.171166667,FALSE
MLS Listing,,Multi-Family ,40 W 74th St,New York,NY,10023,18795000,5,7,Manhattan,11000,2554,1902,61,1709,,Active,https://www.redfin.com/NY/New-York/40-W-74th-St-10023/home/45317674,REBNY,RPLU-33422479118,N,Y,40.7781534,-73.9769623,2200,TRUE,0.232181818,FALSE
MLS Listing,,Multi-Family ,54 E 80th St,New York,NY,10075,18500000,6,6.5,Manhattan,5591,1839,1899,141,3309,,Active,https://www.redfin.com/NY/New-York/54-E-80th-St-10075/home/45290525,REBNY,OLRS-0073072,N,Y,40.7765693,-73.9610667,931.8333333,TRUE,0.328921481,FALSE
MLS Listing,,Multi-Family ,23 Beekman Pl,New York,NY,10022,17495000,9,9.5,Manhattan,11500,2000,1867,13,1521,,Active,https://www.redfin.com/NY/New-York/23-Beekman-Pl-10022/home/45281756,REBNY,RPLU-33422564748,N,Y,40.7533869,-73.9645267,1277.777778,TRUE,0.173913043,FALSE
MLS Listing,,Multi-Family ,6 E 74th St,New York,NY,10021,16800000,8,7.5,Manhattan,9700,2299,1871,67,1732,,Active,https://www.redfin.com/NY/New-York/6-E-74th-St-10021/home/185401288,REBNY,RPLU-33422447023,N,Y,40.7733371,-73.9655476,1212.5,TRUE,0.237010309,FALSE
MLS Listing,,Multi-Family ,112 Waverly Pl,New York,NY,10011,15500000,5,6.5,Manhattan,6321,2144,1826,64,2452,,Active,https://www.redfin.com/NY/New-York/112-Waverly-Pl-10011/home/45243662,REBNY,RPLU-33422457119,N,Y,40.7323524,-73.9993358,1264.2,TRUE,0.339186838,FALSE
MLS Listing,,Multi-Family ,20 Remsen St Unit TH,Brooklyn,NY,11201,11500000,6,5,Brooklyn,6094,2550,1856,7,1887,,Active,https://www.redfin.com/NY/Brooklyn/20-Remsen-St-11201/unit-TH/home/186066298,REBNY,PRCH-7622396,N,Y,40.6948687,-73.9978361,1015.666667,TRUE,0.418444372,FALSE
MLS Listing,,Multi-Family ,8820 Avenue J,Canarsie,NY,11236,11250000,50,50,Brooklyn,22035,15908,2016,228,511,,Active,https://www.redfin.com/NY/Brooklyn/8820-Avenue-J-11236/home/40887328,OneKey,3446376,N,Y,40.6376964,-73.9048363,440.7,TRUE,0.721942364,FALSE
MLS Listing,,Multi-Family ,646 Port Richmond Ave,Staten  Island,NY,10302,10700000,43,43,Staten Island,27152,32180,1971,113,394,,Active,https://www.redfin.com/NY/Staten-Island/646-Port-Richmond-Ave-10302/home/172346492,BNYMLS,472804,N,Y,40.6276713,-74.1423518,631.4418605,TRUE,1.185179729,FALSE
MLS Listing,,Multi-Family ,158 W 13th St,New York,NY,10011,10495000,5,5.5,Manhattan,7376,2117,1846,250,1423,,Active,https://www.redfin.com/NY/New-York/158-W-13th-St-10011/home/173350526,REBNY,OLRS-0079751,N,Y,40.7375107,-73.999772,1475.2,TRUE,0.287011931,FALSE
